name,dll,signature,description
DRMRepair,msdrm.dll,HRESULT DRMRepair(),待补充
DRMRegisterProtectedWindow,msdrm.dll,"HRESULT DRMRegisterProtectedWindow(UInt32 hEnv, HWND hwnd)",待补充
DRMIsWindowProtected,msdrm.dll,"HRESULT DRMIsWindowProtected(HWND hwnd, BOOL* pfProtected)",待补充
DRMAcquireIssuanceLicenseTemplate,msdrm.dll,"HRESULT DRMAcquireIssuanceLicenseTemplate(UInt32 hClient, UInt32 uFlags, Void* pvReserved, UInt32 cTemplates, PWSTR* pwszTemplateIds, PWSTR wszUrl, Void* pvContext)",待补充
CreateXmlReader,XmlLite.dll,"HRESULT CreateXmlReader(Guid* riid, void* ppvObject, IMalloc pMalloc)",待补充
CreateXmlReaderInputWithEncodingCodePage,XmlLite.dll,"HRESULT CreateXmlReaderInputWithEncodingCodePage(IUnknown pInputStream, IMalloc pMalloc, UInt32 nEncodingCodePage, BOOL fEncodingHint, PWSTR pwszBaseUri, IUnknown* ppInput)",待补充
CreateXmlReaderInputWithEncodingName,XmlLite.dll,"HRESULT CreateXmlReaderInputWithEncodingName(IUnknown pInputStream, IMalloc pMalloc, PWSTR pwszEncodingName, BOOL fEncodingHint, PWSTR pwszBaseUri, IUnknown* ppInput)",待补充
CreateXmlWriter,XmlLite.dll,"HRESULT CreateXmlWriter(Guid* riid, void* ppvObject, IMalloc pMalloc)",待补充
CreateXmlWriterOutputWithEncodingCodePage,XmlLite.dll,"HRESULT CreateXmlWriterOutputWithEncodingCodePage(IUnknown pOutputStream, IMalloc pMalloc, UInt32 nEncodingCodePage, IUnknown* ppOutput)",待补充
CreateXmlWriterOutputWithEncodingName,XmlLite.dll,"HRESULT CreateXmlWriterOutputWithEncodingName(IUnknown pOutputStream, IMalloc pMalloc, PWSTR pwszEncodingName, IUnknown* ppOutput)",待补充
AllJoynConnectToBus,MSAJApi.dll,HANDLE AllJoynConnectToBus(PWSTR connectionSpec),待补充
AllJoynCloseBusHandle,MSAJApi.dll,BOOL AllJoynCloseBusHandle(HANDLE busHandle),待补充
AllJoynSendToBus,MSAJApi.dll,"BOOL AllJoynSendToBus(HANDLE connectedBusHandle, Void* buffer, UInt32 bytesToWrite, UInt32* bytesTransferred, Void* reserved)",待补充
AllJoynReceiveFromBus,MSAJApi.dll,"BOOL AllJoynReceiveFromBus(HANDLE connectedBusHandle, Void* buffer, UInt32 bytesToRead, UInt32* bytesTransferred, Void* reserved)",待补充
AllJoynEventSelect,MSAJApi.dll,"BOOL AllJoynEventSelect(HANDLE connectedBusHandle, HANDLE eventHandle, UInt32 eventTypes)",待补充
AllJoynEnumEvents,MSAJApi.dll,"BOOL AllJoynEnumEvents(HANDLE connectedBusHandle, HANDLE eventToReset, UInt32* eventTypes)",待补充
AllJoynCreateBus,MSAJApi.dll,"HANDLE AllJoynCreateBus(UInt32 outBufferSize, UInt32 inBufferSize, SECURITY_ATTRIBUTES* lpSecurityAttributes)",待补充
AllJoynAcceptBusConnection,MSAJApi.dll,"UInt32 AllJoynAcceptBusConnection(HANDLE serverBusHandle, HANDLE abortEvent)",待补充
alljoyn_unity_deferred_callbacks_process,MSAJApi.dll,Int32 alljoyn_unity_deferred_callbacks_process(),待补充
alljoyn_unity_set_deferred_callback_mainthread_only,MSAJApi.dll,Void alljoyn_unity_set_deferred_callback_mainthread_only(Int32 mainthread_only),待补充
QCC_StatusText,MSAJApi.dll,PSTR QCC_StatusText(QStatus status),待补充
alljoyn_msgarg_create,MSAJApi.dll,alljoyn_msgarg alljoyn_msgarg_create(),待补充
alljoyn_msgarg_create_and_set,MSAJApi.dll,alljoyn_msgarg alljoyn_msgarg_create_and_set(PSTR signature),待补充
alljoyn_msgarg_destroy,MSAJApi.dll,Void alljoyn_msgarg_destroy(alljoyn_msgarg arg),待补充
alljoyn_msgarg_array_create,MSAJApi.dll,alljoyn_msgarg alljoyn_msgarg_array_create(UIntPtr size),待补充
alljoyn_msgarg_array_element,MSAJApi.dll,"alljoyn_msgarg alljoyn_msgarg_array_element(alljoyn_msgarg arg, UIntPtr index)",待补充
alljoyn_msgarg_set,MSAJApi.dll,"QStatus alljoyn_msgarg_set(alljoyn_msgarg arg, PSTR signature)",待补充
alljoyn_msgarg_get,MSAJApi.dll,"QStatus alljoyn_msgarg_get(alljoyn_msgarg arg, PSTR signature)",待补充
alljoyn_msgarg_copy,MSAJApi.dll,alljoyn_msgarg alljoyn_msgarg_copy(alljoyn_msgarg source),待补充
alljoyn_msgarg_clone,MSAJApi.dll,"Void alljoyn_msgarg_clone(alljoyn_msgarg destination, alljoyn_msgarg source)",待补充
alljoyn_msgarg_equal,MSAJApi.dll,"Int32 alljoyn_msgarg_equal(alljoyn_msgarg lhv, alljoyn_msgarg rhv)",待补充
alljoyn_msgarg_array_set,MSAJApi.dll,"QStatus alljoyn_msgarg_array_set(alljoyn_msgarg args, UIntPtr* numArgs, PSTR signature)",待补充
alljoyn_msgarg_array_get,MSAJApi.dll,"QStatus alljoyn_msgarg_array_get(alljoyn_msgarg args, UIntPtr numArgs, PSTR signature)",待补充
alljoyn_msgarg_tostring,MSAJApi.dll,"UIntPtr alljoyn_msgarg_tostring(alljoyn_msgarg arg, PSTR str, UIntPtr buf, UIntPtr indent)",待补充
alljoyn_msgarg_array_tostring,MSAJApi.dll,"UIntPtr alljoyn_msgarg_array_tostring(alljoyn_msgarg args, UIntPtr numArgs, PSTR str, UIntPtr buf, UIntPtr indent)",待补充
alljoyn_msgarg_signature,MSAJApi.dll,"UIntPtr alljoyn_msgarg_signature(alljoyn_msgarg arg, PSTR str, UIntPtr buf)",待补充
